geography,median_income
Oregon,65667
Baker,46250
Benton,65142
Clackamas,82911
Clatsop,57466
Columbia,68170
Coos,49445
Crook,59000
Curry,53174
Deschutes,68937
Douglas,50031
Gilliam,41838
Grant,48202
Harney,43387
Hood River,72418
Jackson,56327
Jefferson,55844
Josephine,47733
Klamath,48560
Lake,44237
Lane,54942
Lincoln,50775
Linn,59547
Malheur,44362
Marion,61817
Morrow,56572
Multnomah,71425
Polk,65665
Sherman,51472
Tillamook,54268
Umatilla,57973
Union,53940
Wallowa,53423
Wasco,54725
Washington,86626
Wheeler,45354
Yamhill,67296
